,id_resol,año,cargos,códigos,Empresa denunciada,Multas,Medidas correctivas,dec_fav_denunciante,cargos limpio
0,0002-2020/SPC-INDECOPI,2020,"Luego de contratar los servicios de la denunciada, el 26 de octubre de 2018 se arribó desde Lima con destino a Huancayo y al llegar al terminal de la empresa se quiso sacar los equipajes de la bodega (costales de ropa para venta); empero, el encargado le dijo que estos habrían sido robados junto al de otros pasajeros.",ser1,EMPRESA DE TRANSPORTES TURISMO SEÑOR DE ATACO S.A.C.,0,0,0,luego contratar servicios denunciada 26 octubre 2018 arribó lima destino huancayo llegar terminal empresa quiso sacar equipajes bodega costales ropa venta empero encargado dijo sido robados junto pasajeros
1,0894-2020/SPC-INDECOPI,2020,La cláusula 11 incluida en sus boletos de viaje que establecía que el pasajero aceptaba que el comprobante de pago referido al exceso de equipaje le sea notificado a través de un medio electrónica es abusiva.,c1,EMPRESA CAPLINA DE TRANSPORTES TURÍSTICOS INTERNACIONALES S.R.L.,1 UIT,Consignar mecanismos de indemnización por pérdida de equipaje en boletos y el monto por duplicado de boletos. Costas y costos,1,cláusula 11 incluida boletos viaje establecía pasajero aceptaba comprobante pago referido exceso equipaje notificado través medio electrónica abusiva
2,0893-2020/SPC-INDECOPI,2020,La cláusula 11 incluida en sus boletos de viaje que establecía que el pasajero aceptaba que el comprobante de pago referido al exceso de equipaje le sea notificado a través de un medio electrónica es abusiva.,c1,EMPRESA DE TRANSPORTES FLORES HNOS S.R.L.,1 UIT,Consignar mecanismos de indemnización por pérdida de equipaje en boletos y el monto por duplicado de boletos. Costas y costos,1,cláusula 11 incluida boletos viaje establecía pasajero aceptaba comprobante pago referido exceso equipaje notificado través medio electrónica abusiva
3,0051-2020/SPC-INDECOPI,2020,"la empresa no implementó en su establecimiento comercial una lista de precios del total de rutas del servicio de transporte terrestre ofrecido 
la referida administrada 
no difundió de manera visible en el interior del vehículo identificado con placa de rodaje T3Y-960 un medio alternativo que permitiera a los consumidores el ingreso y registro de quejas y reclamos 
la empresa no habría implementado medidas de seguridad para revisar el equipaje de mano de sus pasajeros
La empresa establecía que los boletos del servicio de transporte ofrecido eran personales e intransferibles","o1,o2,seg1,c2",TURISMO EXPRESO LATINO AMERICANO E.I.R.L,4.68 UIT,Adecuar boletos y difundirlo,1,empresa implementó establecimiento comercial lista precios total rutas servicio transporte terrestre ofrecido referida administrada difundió manera visible interior vehículo identificado placa rodaje t3y-960 medio alternativo permitiera consumidores ingreso registro quejas reclamos empresa implementado medidas seguridad revisar equipaje mano pasajeros empresa establecía boletos servicio transporte ofrecido personales intransferibles
4,0944-2020/SPC-INDECOPI,2020,"La empresa no habría brindado un servicio idóneo en la ruta Trujillo – Casa Grande ofrecido a sus consumidores pues, su unidad vehicular con placa T7I-960 estuvo involucrada en un accidente de tránsito",ser3,EMPRESA DE TRANSPORTES Y SERVICIOS MÚLTIPLES SOL NACIENTE S.R.L.,50 UIT,0,1,empresa brindado servicio idóneo ruta trujillo casa grande ofrecido consumidores pues unidad vehicular placa t7i-960 involucrada accidente tránsito
5,0981-2020/SPC-INDECOPI,2020,"La empresa no habría cumplido con informar a los pasajeros sobre el número de póliza ni la empresa a la que corresponde la misma
La empresa consignaba en sus boletos de viaje que el boleto solo podrá ser postergado hasta 180 días contados desde la fecha de emisión del primer pasaje
La empresa establecía una cláusula que establecía que el pasajero es responsable de verificar los datos consignados en el Boleto de Viaje, al momento de adquirirlo. Por tanto, no se aceptan reclamos posteriores","o3,c7",EMPRESA DE TRANSPORTE TURÍSTICO OLANO S.A.,10.5 UIT,0,1,empresa cumplido informar pasajeros número póliza empresa corresponde misma empresa consignaba boletos viaje boleto solo podrá ser postergado 180 días contados fecha emisión primer pasaje empresa establecía cláusula establecía pasajero responsable verificar datos consignados boleto viaje momento adquirirlo aceptan reclamos posteriores
6,1127-2020/SPC-INDECOPI,2020,"el bus partió con treinta (30) minutos de retraso
Durante el viaje, el bus se detuvo varias veces en el recorrido de Chiclayo a Chimbote, siendo que en una de esas ocasiones se detuvo por un tiempo de sesenta (60) minutos, ante ello, los pasajeros protestaron, y fue cuando el conductor del bus les informó que la unidad había sufrido un robo. Al llegar a Lima, se solicitó la entrega de su equipaje, sin embargo, personal de la Empresa de Transporte le informó que su equipaje había sido sustraído en el robo que había sufrido el bus en el que viajaba.
El personal de la empresa le ofreció el pago de S/ 200,00, dinero que no aceptó porque los objetos que llevaba en su maleta tenían un valor de S/ 1 800,00.","ser1,ser13",SERVICIO Y TURISMO EXPRES VÍA NACIONAL S.A.C.,"1,5 UIT",0,1,bus partió treinta 30 minutos retraso viaje bus detuvo varias veces recorrido chiclayo chimbote siendo ocasiones detuvo tiempo sesenta 60 minutos ello pasajeros protestaron conductor bus informó unidad sufrido robo llegar lima solicitó entrega equipaje embargo personal empresa transporte informó equipaje sido sustraído robo sufrido bus viajaba personal empresa ofreció pago s 200 00 dinero aceptó objetos llevaba maleta valor s 1 800 00
7,0628-2019/SPC-INDECOPI,2019,"(i) Presunta infracción del artículo 2°.1 del Código, en tanto no brindó información relevante sobre el nombre de la compañía aseguradora que brindaba la cobertura de la póliza de accidentes personales;
(ii) presunta infracción del artículo 19° del Código; en tanto, habría omitido consignar en el boleto de viaje el plazo de caducidad, conforme al Reglamento Nacional de Transporte;
(iii) presunta infracción del artículo 47° literal d) del Código; en tanto, habría consignado caracteres inferiores a tres (3) milímetros en los formularios contractuales (boletos de viaje);
(iv) presunta infracción del artículo 50° literal a), al haber consignado como parte de las cláusulas generales de contratación del servicio de transporte que “si hubiera retraso en la hora de salida, la empresa no se responsabiliza de los daños y perjuicios que estas demoras pudieran ocasionar al pasajero”;
(v) presunta infracción del literal a) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “en caso de robo y/o asalto al bus, la Empresa no se responsabiliza por los objetos sustraídos de los
pasajeros”;
(vi) presunta infracción del literal a) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “La empresa no se responsabiliza por daños en el equipaje en la bodega del bus, ya que no se verifica el estado de la misma en la recepción de equipajes”;
(vii) presunta infracción del literal e) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “el pasajero al momento de recabar su boleto de viaje, deberá verificar que todos los datos consignados en este, sean conformes, no aceptándose reclamos posteriores”;
(viii) presunta infracción del literal e) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “en caso de pérdida de equipaje, la empresa se compromete al pago de 10 veces el valor del flete mínimo que asciende a S/ 5.00”;
(ix) presunta infracción del literal e) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “las postergaciones se realizan personalmente o vía correo electrónico, (…) hasta en dos oportunidades sin costo adicional, la tercera y última (…)”;
(x) presunta infracción del literal e) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “(…) la tercera y última tendrá un costo adicional de 10% del valor del pasaje (…)”;
(xi) presunta infracción del literal e) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “si desde la fecha de postergación al día de utilización hubiera variación de tarifa, el usuario deberá reintegrar la diferencia”; y,
(xii) presunta infracción del literal e) del artículo 50° del Código; en tanto, habría consignado como parte de las cláusulas generales de contratación del servicio de transporte, lo siguiente: “los niños mayores de 4 años de edad deberán pagar su pasaje (…)”.","o3,o4,c3,c4,c6,c7,c8,c5,c14",TRC EXPRESS S.A.C,21 UIT,0,1,i presunta infracción artículo 2 1 código brindó información relevante nombre compañía aseguradora brindaba cobertura póliza accidentes personales ii presunta infracción artículo 19 código omitido consignar boleto viaje plazo caducidad conforme reglamento nacional transporte iii presunta infracción artículo 47 literal d código consignado caracteres inferiores tres 3 milímetros formularios contractuales boletos viaje iv presunta infracción artículo 50 literal haber consignado parte cláusulas generales contratación servicio transporte si retraso hora salida empresa responsabiliza daños perjuicios demoras pudieran ocasionar pasajero v presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente caso robo asalto bus empresa responsabiliza objetos sustraídos pasajeros vi presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente empresa responsabiliza daños equipaje bodega bus verifica misma recepción equipajes vii presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente pasajero momento recabar boleto viaje deberá verificar datos consignados conformes aceptándose reclamos posteriores viii presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente caso pérdida equipaje empresa compromete pago 10 veces valor flete mínimo asciende s 5 00 ix presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente postergaciones realizan personalmente vía correo electrónico dos oportunidades costo adicional tercera última x presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente tercera última costo adicional 10 valor pasaje xi presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente si fecha postergación día utilización variación tarifa usuario deberá reintegrar diferencia xii presunta infracción literal artículo 50 código consignado parte cláusulas generales contratación servicio transporte siguiente niños mayores 4 años edad deberán pagar pasaje
8,1459-2019/SPC-INDECOPI,2019,"(i) La denunciada no cumplía con redactar con claridad y sencillez una cláusula de los boletos de viaje que entregaba a sus pasajeros, que consignaba: “1. 24 hrs. antes se admite: postergaciones y devoluciones costo 15%.”; cláusula en la cual no quedaba claro si únicamente se podían realizar dichas acciones “durante las 24 horas antes del inicio del transporte”, o “hasta las 24 horas antes del inicio del transporte”; además, no precisaba sobre cuál concepto se aplicaría la penalidad del 15% a la que hacía referencia dicha cláusula;
(ii) incluía las siguientes cláusulas abusivas en los boletos de viaje que entregaba a sus pasajeros:
a) “4. Retrasos, no asumimos los daños que pudiera causar.”;
b) “10. Ante asaltos, incendios, extravíos, accidentes, deterioro, entrega equivocada de equipajes u otros se indemnizará: a) 20 kg. libres hasta que resulte multiplicar 25% valor del pasaje por: 1-5 kg x5,5-10x10; 10-15x15;15-20x20; b) equipaje en exceso; 10 veces el valor del flete.”;
c) “11. No se responde por pérdida o sustracciones en el salón del bus.”;","o5,c3,c8",EMPRESA DE TRANSPORTES PERÚ BUS S.A.,0,0,0,i denunciada cumplía redactar claridad sencillez cláusula boletos viaje entregaba pasajeros consignaba 1 24 hrs admite postergaciones devoluciones costo 15 cláusula quedaba claro si únicamente podían realizar dichas acciones 24 horas inicio transporte 24 horas inicio transporte además precisaba cuál concepto aplicaría penalidad 15 hacía referencia dicha cláusula ii incluía siguientes cláusulas abusivas boletos viaje entregaba pasajeros 4 retrasos asumimos daños pudiera causar b 10 asaltos incendios extravíos accidentes deterioro entrega equivocada equipajes u indemnizará 20 kg libres resulte multiplicar 25 valor pasaje 1-5 kg x5 5-10x10 10-15x15 15-20x20 b equipaje exceso 10 veces valor flete c 11 responde pérdida sustracciones salón bus
9,1460-2019/SPC-INDECOPI,2019,"(i) La denunciada no cumplía con redactar con claridad y sencillez una cláusula de los boletos de viaje que entregaba a sus pasajeros, que consignaba: “1. 24 hrs. antes se admite: postergaciones y devoluciones costo 15%.”; cláusula en la cual no quedaba claro si únicamente se podían realizar dichas acciones “durante las 24 horas antes del inicio del transporte”, o “hasta las 24 horas antes del inicio del transporte”; además, no precisaba sobre cuál concepto se aplicaría la penalidad del 15% a la que hacía referencia dicha cláusula;
(ii) incluía las siguientes cláusulas abusivas en los boletos de viaje que entregaba a sus pasajeros:
a) “4. Retrasos, no asumimos los daños que pudiera causar.”;
b) “10. Ante asaltos, incendios, extravíos, accidentes, deterioro, entrega equivocada de equipajes u otros se indemnizará: a) 20 kg. libres hasta que resulte multiplicar 25% valor del pasaje por: 1-5 kg x5,5-10x10; 10-15x15;15-20x20; b) equipaje en exceso; 10 veces el valor del flete.”;
c) “11. No se responde por pérdida o sustracciones en el salón del bus.”;","o5,c3,c8",TRANSPORTES SOYUZ S.A.,0,0,0,i denunciada cumplía redactar claridad sencillez cláusula boletos viaje entregaba pasajeros consignaba 1 24 hrs admite postergaciones devoluciones costo 15 cláusula quedaba claro si únicamente podían realizar dichas acciones 24 horas inicio transporte 24 horas inicio transporte además precisaba cuál concepto aplicaría penalidad 15 hacía referencia dicha cláusula ii incluía siguientes cláusulas abusivas boletos viaje entregaba pasajeros 4 retrasos asumimos daños pudiera causar b 10 asaltos incendios extravíos accidentes deterioro entrega equivocada equipajes u indemnizará 20 kg libres resulte multiplicar 25 valor pasaje 1-5 kg x5 5-10x10 10-15x15 15-20x20 b equipaje exceso 10 veces valor flete c 11 responde pérdida sustracciones salón bus
