Año,Categoría,Materia,id_resol,Empresa denunciada,Criterios aplicables,Medios probatoriosCargo,Medios probatorios Descargo,Cuestiones,Normativa,Multas,Medidas correctivas,Configuración del Tribunal,Decisión
2006,Pérdida de equipaje,Idoneidad del servicio,0064-2006/TDC-INDECOPI,Empresa de Transporte Flores Hermanos S.R.L.,"la responsabilidad administrativa de Transportes Flores en la prestación de servicios de transporte es objetiva, por lo que la denunciada sólo podría eximirse de responsabilidad si acreditara que existió un hecho o una conducta distinta a la suya que determinó que no entregase a la denunciante la mencionada encomienda.
Los supuestos de caso fortuito y de fuerza mayor constituyen circunstancias que eximen de responsabilidad al proveedor por los defectos que se puedan presentar en la prestación de bienes o servicios, los cuales son definidos por el artículo 1315° del Código Civil el Código Civil no distingue entre los supuestos de caso fortuito o fuerza mayor, requiriéndose en ambos casos acreditar la existencia de eventos extraordinarios, imprevisibles e irresistibles y que, por lo tanto, no pueden ser controlados por el obligado a ejecutar una
prestación.
En la entrega de encomiendas, resulta un riesgo previsible el extravío, deterioro y sustracción de los bienes que las conforman y, ante estos hechos, es el proveedor de los servicios, obligado a trasladar los bienes de manera segura a su destinatario de acuerdo con las condiciones en las que éste se pactó, quien está en mejor posición para tomar medidas razonables destinadas a evitar que se produzcan hechos de esta naturaleza.
Sobre la base de la guía de encomienda, un consumidor razonable entiende que la encomienda únicamente será entregada a aquella persona que figura como consignatario de la misma. Por otro lado, en caso que sea necesario revisar o rectificar el contenido de la encomienda antes de que ésta sea enviada, un consumidor razonable entiende que el único que podía solicitarla era el
remitente de la misma.
Debe tenerse en cuenta que la denunciada está en mejor posición que el cliente para reducir y prevenir los riesgos propios de la entrega de paquetes y encomiendas.",Boleta por servicio de encomienda,Denuncia policial por hurto,Competencia Fuerza mayor,"Reglamento Nacional de Ferrocarriles D. Supremo 032-2005-MTC D. Supremo No. 027-99-MTC Reglamento para el otorgamiento de operaciones de servicio de transporte ferroviario DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Código Civil","0,50 UIT Pago de costas y costos",Pago de S/.850,Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi,1
2006,Pérdida de equipaje,Idoneidad del servicio,0071-2006/TDC-INDECOPI,PAREDES ESTRELLA CARGO S.A.,"El punto de partida para demostrar la existencia de una causa que exima de responsabilidad a un proveedor es la probanza de un evento determinado que tiene una característica de exterioridad respecto a él. Para eximirse de responsabilidad no resulta relevante que el proveedor acredite el cumplimiento de un determinado nivel de diligencia, sino que acredite la existencia de un acontecimiento que interrumpa la sucesión ordinaria de causa a efecto.
A efectos de acreditar la existencia de un supuesto de caso fortuito resulta indispensable no sólo probar la existencia de un evento inusual, sino que éste posee una característica de exterioridad, es decir, que se presente
como una “causa ajena”, la cual, debe entenderse como un hecho que no debe constituir un riesgo “típico”, motivo por el cual, en el caso de la responsabilidad objetiva, sólo el riesgo atípico tendrá valor exoneratorio.
Tratándose de un supuesto de responsabilidad por hecho de cosas inanimadas, únicamente se configura la liberación de responsabilidad cuando el caso fortuito o fuerza mayor es externo a la cosa. En tal sentido, cuando el daño se origina en el riesgo o vicio de la cosa, se considera propio de ella y, en consecuencia, no se configura el caso fortuito. 
El presente caso no puede alegarse un supuesto de caso fortuito, ya que la denunciada no ha cumplido con acreditar la existencia de una causa ajena que permita considerar que se ha quebrado el nexo causal, ya que de la revisión de la información que obra en el expediente ha podido establecerse que el hecho que originó el accidente fue la falta de diligencia del chofer del vehículo que transportaba la encomienda dirigida al denunciante quien retrocedió el referido vehículo sin tomar las medidas de prevención y cuidado necesarias. 
Al haberse verificado que el hecho verificado es consecuencia de un riesgo propio y absolutamente previsible para el proveedor, tomando en consideración la actividad económica desarrollada, no puede argumentarse la existencia de un caso fortuito, el cual sólo se configura cuando el hecho es “externo a la cosa”.",0,0,"Competencia Fuerza mayor, caso fortuito","Ley No. 27181 Ley General de Transporte y Tránsito Terrestre DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Código Civil Sentencia del 23 de abril de 2007 Primera Sala Transitoria Especializada de la Corte Superior de Jusiticia de Lima","0,5 UIT","Pago de S/.1,650",Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi,1
2006,Pérdida de equipaje,Idoneidad del servicio Gradación de la sanción,0142-2006/TDC-INDECOPI,EMPRESA DE TRANSPORTES SANTA ÚRSULA S.A.C,"Para el dictado de medidas correctivas, la ausencia de regulación específica que establezca los criterios para valorar la pérdida de encomiendas remitidas empleando el transporte terrestre por carretera, hace necesario recurrir al ordenamiento normativo más próximo a fin de establecer un criterio de valoración de los bienes extraviados.",0,0,0,"Reglamento Nacional de Ferrocarriles D. Supremo 032-2005-MTC D. Supremo No. 027-99-MTC Reglamento para el otorgamiento de operaciones de servicio de transporte ferroviario Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716 DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Código Civil","0,50 UIT",Pago de S/.850,Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi Lorenzo Antonio Zolezzi Ibárcena,0
2006,Pérdida de equipaje,Idoneidad del servicio,1335-2006/TDC-INDECOPI,Empresa de Transporte El Pino SAC (El Pino),"la causa no imputable debe ser entendida como un evento extraño a la esfera de control del obligado y no como una causa no atribuible a la culpa del deudor, por cuanto existen impedimentos inculpables, que por ser expresión de un riesgo típico de la actividad comprometida, se consideran imputables al obligado.
el hurto del objeto de la prestación no siempre puede ser alegado como eximente de responsabilidad, ya que previamente se debe determinar si éste representa un riesgo típico de la actividad comprometida.
la pérdida del equipaje de un pasajero durante un viaje en autobús constituye un riesgo típico de la actividad realizada por la denunciada como proveedor del servicio de transporte terrestre. Lo anterior, toda vez que la obligación de transportar pasajeros impone además un deber de custodia del equipaje transportado por la empresa de transporte hasta que le sea entregado al usuario.
El deber de custodia que recae en las empresas de transporte incluye justamente evitar la pérdida, extravío o robo del equipaje que transportan. En consecuencia, el robo de las maletas no puede ser un eximente de responsabilidad, por no tratarse de un evento ajeno a la actividad que realiza.
al representar el robo, pérdida o extravío de equipaje un riesgo típico de la prestación de servicios de transporte terrestre, el proveedor estaba en mejor posición que cualquier persona para prevenirlo y resistirlo. 
Un consumidor razonable, al contratar un servicio de transporte terrestre, esperaría que su equipaje sea transportado en forma adecuada, diligente y segura al destino correspondiente, de forma tal que le sea devuelto al final del viaje y en las mismas condiciones en que fue entregado, tal como se comprometió la empresa de transporte, según el deber de custodia que le asiste.
el hecho de que la pérdida del equipaje se haya producido como consecuencia de un robo no exime a la empresa de transportes de la responsabilidad administrativa.",Boleta de Venta,0,deber de custodia del equipaje,"Ley de Aeronaútica Civil del Perú DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Res. 0603-2002/TDC-INDECOPI","0,5 UIT Pago de costas y costos",Pago de S/. 966,Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi,1
2006,Pérdida de equipaje,Idoneidad del servicio,1428-2006/TDC.INDECOPI,EMPRESA DE TRANSPORTES CARGO CAVASSA S.A.C.,"Al contratar un servicio de transporte de carga, un consumidor razonable espera que sus bienes, además de ser transportados de manera segura hasta su destino, sean entregados en el lugar pactado y a la persona autorizada para recibirlos. La carga de la prueba sobre la idoneidad del producto o servicio corresponde al proveedor del mismo, en los casos de transporte de mercancías corresponde al proveedor demostrar que el servicio prestado fue idóneo o, lo que es lo mismo, que cumplió con entregar la encomienda materia de denuncia a la persona indicada por el denunciante y en el lugar pactado. La guía de remisión es el documento que sustenta el traslado de bienes por el transportista, el cual, además, permite acreditar la entrega de los bienes objeto de encomienda, cuando en él conste la suscripción del destinatario en señal de conformidad con la recepción de la mercancía. La guía presentada por el proveedor constituye un documento idóneo para acreditar la entrega de los bienes materia de encomienda al denunciante, en la medida que cuenta con una firma de manifiesta similitud a la  del consumidor, además de contener su número de DNI. Labor de verificación de la autoridad respecto de la comisión de una infracción por parte de la denunciada en la entrega de mercancías, únicamente puede ser efectuada sobre la base de los documentos presentados por las partes en el procedimiento, mediante los cuales la autoridad debe verificar hechos ciertos y objetivos, como son, en el presente caso, la correspondencia entre los números que figuran en el DNI y en el cargo de recepción, así como la similitud entre las firmas consignadas en el referido documento y el DNI del consumidor. No corresponde a la autoridad administrativa efectuar una evaluación respecto de la autenticidad o falsedad de la firma consignada en la guía de remisión. Para determinar la existencia o inexistencia de una infracción administrativa, basta que la empresa denunciada acredite el cumplimiento de su deber de idoneidad, no encontrándose facultada la administración para pronunciarse sobre una supuesta falsedad en la firma consignada, toda vez que dicha potestad únicamente corresponde al Poder Judicial mediante la actuación de la prueba grafotécnica correspondiente.",0,Guia Boleta de Venta No. 51285,0,"D. Supremo No. 009-2004-MTC Reglamento Nacional de Administración de Transportes DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27444 Ley del Procedimiento Administrativo General",0,0,Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi,0
2006,Pérdida de equipaje,Idoneidad del servicio,1466-2006/TDC.INDECOPI,Empresa de Transporte Flores Hermanos S.R.L.,"la pérdida del equipaje de un pasajero durante un viaje en autobús constituye un riesgo típico de la actividad realizada por la denunciada como proveedor del servicio de transporte terrestre. La obligación de transportar
pasajeros impone además un deber de custodia del equipaje transportado por la empresa de transporte hasta que le sea entregado al usuario. El deber de custodia que recae en las empresas de transporte incluye justamente evitar la pérdida, extravío o robo del equipaje que transportan. En tal sentido, un consumidor razonable, al contratar un servicio de transporte terrestre, esperaría que su equipaje sea transportado en forma adecuada, diligente y segura al destino correspondiente, de forma tal que le sea devuelto al final del viaje y en las mismas condiciones en que le fue entregado, según el deber de custodia que le asiste.
En efecto, el que la pérdida del equipaje se haya producido como consecuencia de un error en la consignación del lugar de destino en el boleto del equipaje no exime a la empresa de transportes de la responsabilidad administrativa objetiva a los proveedores. Todo consumidor que contrata los servicios de transporte interprovincial de pasajeros esperaría que su equipaje le sea entregado en el lugar de destino, el mismo que se indica en el boleto de viaje entregado al pasajero. Sin embargo, aún en el caso en que por error el equipaje fuera enviado a un terminal de la empresa distinto al que se dirigía el pasajero, éste esperaría que la empresa cumpla con devolvérselo, en cumplimiento del deber de custodia que recae en ella. ",0,0,0,"Ley de Aeronaútica Civil del Perú DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Res. 0603-2002/TDC-INDECOPI Res. 0158-2003/TDC-INDECOPI","0,5 UIT Pago de costas y costos","US$429,13",Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi,1
2006,Pérdida de equipaje,Idoneidad del servicio,1663-2006/TDC.INDECOPI,EXPRESO GRAEL S.A.C.,"El hecho de que un órgano resolutivo valore los medios probatorios que obran en el expediente y llegue al convencimiento de la existencia o inexistencia de una infracción, discrepando con la posición de alguna de las partes en el procedimiento que no ve amparada su pretensión, no tiene por qué ser asociado a una infracción al debido proceso ni vicia de nulidad el pronunciamiento. En todo caso, ante la disconformidad del
administrado con lo resuelto, la apelación constituye el recurso impugnatorio que permite a la instancia superior revisar los pronunciamientos de la Comisión y, de ser pertinente, modificarlos.",Factura 007-No. 189485 Nota de recepción No. 001513 Carta Notarial,0,0,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Res. 099-96-TDC",0,0,Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta Luis Bruno Seminario de Marzi Lorenzo Antonio Zolezzi Ibárcena,0
2006,Pérdida de equipaje,Idoneidad del servicio,1722-2006/TDC.INDECOPI,TURISMO CIVA S.A.C.,"El proveedor presentó un Acta de Transacción celebrada con la representante de la denunciante, en el que además de reconocerse el pago de una suma de dinero a favor de la señora Guerra, se deja constancia que ésta se desiste expresamente de la denuncia interpuesta ante INDECOPI por dicha pérdida, solicitando el archivo definitivo de tal procedimiento (Expediente 016-2004). La representante contaba con facultades suficientes para celebrar transacciones en nombre de la denunciante, como también para formular desistimientos, por lo que la declaración contenida en el Acta de Transacción de fecha 2 de junio de 2004 cumplía con los requisitos que establece el artículo 189 de la Ley del Procedimiento Administrativo General. En tanto no se apreciaba una afectación al interés general, correspondía que la Comisión tuviera por desistida la denuncia.",0,Acta de Transacción por pérdida de equipaje,0,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27444 Ley del Procedimiento Administrativo General",0,0,Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta,0
2006,Pérdida de equipaje,Idoneidad del servicio,1854-2006/TDC.INDECOPI,Transporte La Marginal SA (Transporte La Marginal),"La responsabilidad administrativa de proveedor en la prestación de servicios de transporte es objetiva, por lo que la denunciada sólo podría eximirse de responsabilidad si acreditara que existió un hecho o una conducta distinta a la suya que determinó que no entregase al denunciante la mencionada encomienda. Los supuestos de caso fortuito y de fuerza mayor constituyen circunstancias que eximen de responsabilidad al proveedor por los defectos que se puedan presentar en la prestación de bienes o servicios, los cuales son definidos por el artículo 1315 del Código Civil. El Código Civil no distingue entre los supuestos de caso fortuito o fuerza mayor, requiriéndose en ambos casos acreditar la existencia de eventos extraordinarios, imprevisibles e irresistibles y que, por lo tanto, no pueden ser controlados por el obligado a ejecutar una prestación. El punto de partida para demostrar la existencia de una causa que exima de responsabilidad a un proveedor es la probanza de un evento determinado que tiene una característica de exterioridad respecto a él. En la entrega de encomiendas, resulta un riesgo previsible el extravío, deterioro y sustracción de los bienes que las conforman y, ante estos hechos, es el proveedor de los servicios, obligado a trasladar los bienes de manera segura a su destinatario de acuerdo con las condiciones en las que éste se pactó, quien está en mejor posición para tomar medidas razonables destinadas a evitar que se produzcan hechos de esta naturaleza. El proveedor no cumplió con la prestación a su cargo, en la medida que no entregó la encomienda a su verdadero destinatario. La denunciada pudo haber adoptado medidas de seguridad más eficaces para garantizar la entrega de las encomiendas que tiene bajo su custodia, evitando de esta manera la comisión de posibles fraudes, como consignar el número de DNI del destinatario del envío en la boleta de venta o guía de remisión emitida, establecer un código secreto de conocimiento sólo del remitente de la encomienda, con la finalidad de corroborar dichos datos al momento de la entrega de la encomienda. La denunciada está en mejor posición que el cliente para reducir y prevenir los riesgos propios de la entrega de paquetes y encomiendas, especialmente si conoce que los robos efectuando la falsificación de documentos de identidad se producen en el mercado. Las circunstancias descritas ponen en evidencia la existencia de un defecto en la prestación del servicio.",0,Boleta de envío de encomienda Cláusulas Generales de contratación transporte de encomiendas,"CASO FORTUITO, DEFECTO DE PRESTACION DEL SERVICIO","D. Supremo No. 032-2008-MTC DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716 Código Civil","0,5 UIT Pago de costas y costos","S/.1,800",Juan Francisco Rojas Leo Julio Balazar Durand Carrión Sergio Alejandro León Martínez José Oscátegui Arteta,1
2006,Pérdida de equipaje,Idoneidad del servicio,1900-2006/TDC.INDECOPI,M & C ENLACES S.A.,"En la entrega de equipajes, resulta un riesgo previsible el extravío, deterioro y sustracción de los bienes que las conforman y, ante estos hechos, es el proveedor de los servicios, obligado a trasladar los bienes de manera segura a su destinatario de acuerdo con las condiciones en las que éste se pactó, quien está en mejor posición para tomar medidas razonables destinadas a evitar que se produzcan hechos de esta naturaleza. Una vez que se concluye el tramo contratado, se hace entrega del referido ticket a la empresa de transportes a fin de que ésta haga entrega del respectivo equipaje. Sobre la base de esta información, un consumidor entiende que su equipaje únicamente será entregado a aquella persona que presente el ticket. Ha quedado acreditado que el equipaje no fue entregado a la denunciante.",Ticket de equipaje No. 00030129,Denuncia policial por hurto,0,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716 Res. 0158-2003/TDC-INDECOPI Ley de Aeronaútica Civil del Perú","0,3 UIT Pago de costas y costos","US$486,36",Juan Francisco Rojas Leo Julio Balazar Durand Carrión Luis Bruno Seminario de Marzi José Oscátegui Arteta,1
