,0
TURISMO CIVA S.A.C.,21
Empresa de Transporte Junín S.R.L.,13
TRANSPORTES CRUZ DEL SUR S.A.C.,10
Empresa de Transporte Flores Hermanos S.R.L.,10
Empresa de Transportes Expreso Cial S.A.C.,10
TRANSPORTES EL PINO S.A.C.,9
EMPRESA DE TRANSPORTES RONCO PERÚ S.A.C.,8
EXPRESO MOLINA UNIÓN E.I.R.L.,8
EMPRESA DE TRANSPORTE TURÍSTICO OLANO S.A.,7
EMPRESA DE TRANSPORTES CARGO CAVASSA S.A.C.,6
Transportes Wari S.A.C.,6
JULSA ÁNGELES TOURS S.A.C.,6
MÓVIL TOURS S.A.,5
PAREDES ESTRELLA CARGO S.A.,5
M & C ENLACES S.A.,5
TRANSMAR EXPRESS S.A.C.,5
EXPRESO INTERNACIONAL ORMEÑO S.A.,4
EMPRESA DE TRANSPORTES TURISMO PARAMONGA S.A.,4
TRANSPORTES LÍNEA S.A.,4
SERVICIO DE TRANSPORTE TURISMO INTERBUSS S.A.C.,3
EMPRESA DE TRANSPORTES EXPRESO INTERNACIONAL PALOMINO S.A.C.,3
ANDORIÑA TOURS S.R.L.,3
EMPRESA DE TRANSPORTES SALAZAR E.I.R.L.,3
Empresa de Transportes Royal Palaces S.A.,2
EMPRESA DE TRANSPORTES SANTA ÚRSULA S.A.C,2
EMPRESA DE TRANSPORTES EL DORADO S.A.C.,2
Empresa de Transporte Sol Peruano S.A.C.,2
HUAYRURO TOURS E.I.R.L.,2
Empresa de Transportes Turismo Directo Asegurado S.A.C.,2
EMPRESA DE TRANSPORTES KALE S.A.C.,2
TRANSPORTES GM INTERNACIONAL S.A.C.,2
EMPRESA DE TRANSPORTES PERÚ BUS S.A.,2
TURISMO SAN LUIS DEL SUR E.I.R.L.,2
EMPRESA DE TRANSPORTES Y REPRESENTACIONES TURISMO CENTRAL S.A.,2
TURISMO PARAÍSO S.A.,2
Expreso Turismo Tacna Internacional S.C.R.L.,2
EMPRESA DE TRANSPORTES EXPRESO HUAMANGA S.A.C.,2
BAHÍA BUSS S.A.C.,2
EMPRESA DE TRANSPORTES Y TURISMO RARAZ S.A.C.,2
EMPRESA DE TRANSPORTES TURISMO TRES ESTRELLAS S.A.C.,2
EXPRESO GRAEL S.A.C.,2
INVERSIONES TOUR PERU S.A.C.,1
EMPRESA DE TRANSPORTE TURISMO LIBERTADORES E.I.R.L.,1
EXPRESO TURISMO SAN MARTÍN E.I.R.L.,1
EMPRESA DE TRANSPORTES Y TURISMO BARRANCA S.A.,1
EMPRESA DE TRANSPORTES LIBERTAD S.C.R.Lt.,1
TRANSPORTES CROMOTEX S.A.C.,1
EMPRESA DE TRANSPORTES INTERPROVINCIAL DE PASAJEROS EL HUARALINO S.A.C.,1
EMPRESA DE TRANSPORTE TURÍSTICO PANAMERICANO S.C.R.L.,1
Empresa de Transportes La Perla del Oriente S.A.C.,1
EMPRESA DE TRANSPORTES WARIVILCA S.A.,1
CARBOTRANS E.I.R.L.,1
TURISMO TITANIC S.A.,1
TURISMO AMPAY S.C.R.L.,1
EMPRESA DE TRANSPORTES EL EXPRESO S.A.C.,1
EMPRESA DE TRANSPORTES AGREDA E HIJOS S.A.C.,1
EMPRESA DE TRANSPORTES LOS CANARIOS S.R.L.,1
EMPRESA DE TRANSPORTE CRUZ DEL NORTE S.A.C.,1
EMPRESA DE TRANSPORTES TURISMO REAL DEL SUR S.R.L.,1
EMPRESA DE TRANSPORTES VIRGEN DE COPACABANA S.R.L.,1
Transportes Señor de Puelles S.C.R.L.,1
Empresa de Transporte Costeño Express S.A.C.,1
TRANSPORTES ANITA E.I.R.L.,1
EMPRESA DE TRANSPORTES TURISMO APÓSTOL SAN PEDRO E.I.R.L.,1
Empresa de Transporte Salazar E.I.R.L,1
EMPRESA DE TRANSPORTES DORA E.I.R.L.,1
EMPRESA DE TRANSPORTES DE CARMELITAS,1
COMPAÑÍA DE MOVILIDAD Y SERVICIOS VELOSTER S.A.C.,1
SHALOM EMPRESARIAL S.A.C.,1
TRANSPORTES TURISMO OROPESA E.I.R.L.,1
EMPRESA DE TRANSPORTES SANDOVAL S.R.L.,1
EMPRESA DE TRANSPORTES NUESTRA SEÑORA DE LA MERCED S.A.C.,1
EMPRESA DE TRANSPORTES AVE FÉNIX S.A.C.,1
EMPRESA COMERCIAL DE TRANSPORTES ZELADA S.R.L.,1
EMPRESA DE TRANSPORTES TURISMO MER S.C.R.L.,1
TERRACARGO S.A.C.,1
TURISMO ESPINOZA E.I.R.L.,1
EMPRESA DE TRANSPORTES CRUZ DEL NORTE S.A.C.,1
TURISMO ERICK EL ROJO S.A.,1
EMPRESA DE TRANSPORTES YANATILE S.R.L.,1
Empresa de Transportes Diferencial Asociados S.A. (Transportes Diferencial),1
EMPRESA DE TRANSPORTES Y SERVICIOS MÚLTIPLES SOL NACIENTE S.R.L.,1
EXPRESO SÁNCHEZ S.R.L.,1
TRANSPORTES SOYUZ S.A.,1
EMPRESA DE TRANSPORTES Y TURISMO CORVIVAL S.A.C.,1
Arequipa Express Comité 4 S.C.R.L.,1
EXPRESO INTERNACIONAL TERRABÚS PERÚ S.C.R.L.,1
EMPRESA DE TRANSPORTES HORNA E HIJOS S.R.L.,1
EMPRESA DE TRANSPORTES Y TURISMO SOL PERUANO S.A.C.,1
Empresa de Transporte Inter Regional S.A.,1
EMPRESA DE TRANSPORTES TURISMO SEÑOR DE ATACO S.A.C.,1
EMPRESA INTERNACIONAL DE TRANSPORTE TITICACA BOLIVIA S.R.L.,1
TURISMO MURGA SERRANO E.I.R.L.,1
EMPRESA DE TRANSPORTES ROMY S.A.C.,1
TRANSPORTES MURGA SERRANO E.I.R.L.,1
EMPRESA DE TRANSPORTE TURÍSTICO COCHACHI S.C.R.L.,1
EMPRESA DE TRANSPORTES Y TURISMO EXPRESS,1
MERLY ROXANA GUEVARA BARRETO,1
Empresa de Transportes Carhuamayo S.A.C.,1
SELVA SUR S.R.L. - EXPRESO SELVA SUR,1
EMPRESA DE TRANSPORTES EXPRESO LOBATO S.A.C.,1
Empresa de Transportes Santa Mónica E.I.R.L.,1
EMPRESA DE SERVICIOS TURÍSTICOS LUCHO TOURS S.A.C.,1
EMPRESA DE TRANSPORTE TURISMO MER S.R.L.,1
EMPRESA DE TRANSPORTE INTERPROVINCIAL DE PASAJEROS TURISMO HUANCABAMBA S.A.C.,1
EMPRESA DE TRANSPORTES TURISMO JAÉN S.R.L.,1
EMPRESA DE TRANSPORTES SAN CRISTÓBAL DEL SUR E.I.R.L.,1
Transporte La Marginal SA (Transporte La Marginal),1
Empresa Romelí S.A.C. (Romelí),1
INTERNATIONAL MILLENIUM CARGO S.A.C.,1
EMPRESA DE TRANSPORTES RAMOS,1
EXPRESO ANTEZANA HNOS S.A.,1
EMPRESA DE TRANSPORTE TURÍSTICOS OLANO S.A,1
Empresa de Transportes Unidos del Centro S.A.,1
EMPRESA DE TRANSPORTES EL SOL S.A.,1
CRISOLITOS EXPRESS E.I.R.L.,1
Empresa de Transporte El Pino SAC (El Pino),1
Empresa de Transportes  Julio César S.R.L.,1
EMPRESA DE TRANSPORTES PAREDES ESTRELLA S.R.L.,1
Empresas de Servicios y Representaciones Tumbes S.R.L.,1
SERVICIO Y TURISMO EXPRES VÍA NACIONAL S.A.C.,1
SECHURA TOURS S.R.LTDA.,1
Perurail S.A.,1
Turismo Dias S.A. (Turismo Dias),1
EXPRESO INTERNACIONAL ORMEÑO S.A.,1
Nuestra Señora de Chota S.A.,1
Empresa de Transportes y Turismo Los Hunos E.I.R.L.,1
Expreso Wari S.A.C.,1
EXPRESO TURISMO SAN MARTÍN E.I.R.L.,1
AREQUIPA EXPRESO MARVISUR E.I.R.L.,1
