,0
"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",210
Ley No. 27444 Ley del Procedimiento Administrativo General,201
Código de Protección y Defensa del Consumidor,86
Código Procesal Civil,67
D. Supremo No. 009-2004-MTC Reglamento Nacional de Administración de Transportes,54
Ley No. 27181 Ley General de Transporte y Tránsito Terrestre,44
Reglamento Nacional de Ferrocarriles D. Supremo 032-2005-MTC,41
"Ley No. 29380 Ley de Creación de la Superintendencia de Transporte Terrestre de Personas, Carga y Mercancías (SUTRAN)",41
Constitución Política del Perú,38
Código Civil,36
Res. 085-96-TDC,34
Ley de Aeronaútica Civil del Perú,28
Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716,21
D. Supremo 017-2009-MTC,15
D. Supremo No. 050-2001-MTC Reglamento de la Ley de Aeronaútica Civil del Perú,12
Res. 0158-2003/TDC-INDECOPI,11
D. Supremo No. 027-99-MTC Reglamento para el otorgamiento de operaciones de servicio de transporte ferroviario,11
Directiva No. 001-2003/TRI-INDECOPI,10
D. Leg 1045 Ley Complementaria al Sistema de Protección al Consumidor,9
D. Supremo No. 016-2006-EF Reglamento de Equipaje y Menaje de Casa,8
Directiva No. 009-2013/DIR-COD-INDECOPI,8
Sentencia del 23 de abril de 2007 Primera Sala Transitoria Especializada de la Corte Superior de Jusiticia de Lima,8
Res. 099-96-TDC,7
Ley No. 28015 Ley de Promoción y Formalización de MYPE,7
Acuerdo sobre Transporte Internacional Terrestre 1990 ALADI,6
D. Supremo No. 004-2019-JUS,6
Res. 2303-2009/SC2-INDECOPI,6
DECRETO LEGISLATIVO No. 716 PROMULGAN NORMA SOBRE PROTECCIÓN AL CONSUMIDOR,6
Decisión290 Andina,6
Sentencia Tribunal Constitucional Exp. 0858-2003-AA/TC,5
REGLAMENTO SC-STR-DS-RA-0300-2007,5
D. Supremo 011-2011-PCM Reglamento del Libro de Reclamaciones,5
Ley No. 26979 Ley de Procedimiento de Ejecución Coactiva,5
D. Supremo 006-2015-MTC Reglamento de Organización y Funciones de la SUTRAN,4
Directiva No. 002-1999/TRI-INDECOPI,4
Acuerdo Plenario No. 2-2006/CJ-116 Pleno Jurisdiccional de las salas permanente y transitoria,3
Res. 0603-2002/TDC-INDECOPI,3
Ley No. 27809 Ley General del Sistema Concursal,3
RESOLUCION DE SUPERINTENDENCIA Nº 007-99-SUNAT. Aprueba Nuevo Reglamento de Comprobantes de Pago,3
Res. 1771-2009/SC2-INDECOPI,3
Res. 0221-1998/TDC-INDECOPI,3
Ley No. 27311 Ley de Fortalecimiento del Sistema de Protección al consumidor,3
D. Supremo 017-93-JUS TUO de la Ley Orgánica del Poder Judicial,2
Cláusulas Generales del contrato de Transporte de Pasajeros,2
Código Penal,2
D. Supremo 11-2013-MTC Decreto Supremo que modifica e incorpora disposiciones al Decreto Supremo No. 017-2009-MTC,2
D. Supremo 007-2008-TR,2
Res. 802-2011/SC2-INDECOPI,2
Código de los Niños y Adolescentes,2
D. Supremo No. 006-2017-JUS,2
Convenio de Montreal,1
Ley Marco de Licencia De Funcionamiento,1
Ley 27972 Ley Orgánica de Municipalidades,1
Sentencia Tribunal Constitucional Exp. 1963-2006-PA/TC,1
D. Supremo No. 01-79 TC,1
Ley que regula el proceso contencioso administrativo,1
D. Supremo 032-2011-PCM,1
Directiva No. 001-2015/TRI-INDECOPI,1
D. Supremo 032-2015-MTC,1
D. Supremo No. 006-2014-PCM,1
Res. 1123-2006/INDECOPI-LAL,1
Res. 0620-2008/TDC-INDECOPI,1
D. Supremo 122-94-EF Reglamento de la Ley del Impuesto a la Renta,1
Directiva No. 005­2010/DIR-COD-INDECOPI,1
Res. 0488-2007/TDC,1
Res. 1125-2006/INDECOPI-LAL,1
Artículo 47° del Código de Protección y Defensa del Consumidor,1
Sentencia Tribunal Constitucional Exp. 2868-2004-PA/TC,1
D. Supremo 009-2009-PCM,1
TUO del Nuevo Régimen Único Simplificado,1
Res. 0301-2007/TDC-INDECOPI,1
Res. 0489-2005/TDC-INDECOPI,1
Ley Orgánica del Registro Nacional de Identificación y Estado Civil,1
Directiva No. 007-2013/DIR-COD-INDECOPI,1
Res. 064-2004/DIR-INDECOPI,1
Directiva No. 004-2010/DIR-COD-INDECOPI,1
Res. 3590-2012/SC2-INDECOPI,1
Sentencia 29 agosto 2006 Tribunal Constitucional,1
Directiva 002-2001/TRI-INDECOPI,1
Res. 3697-2012/SPC-INDECOPI,1
Res. 422-2003/TDC-INDECOPI,1
Sentencia 10 abril 2006 Sala Civil Transitoria de la Corte Suprema,1
RD 001-2006-MTC/19,1
D. Supremo No. 032-93-TC Reglamento de servicios y concesiones postales,1
Res. 0082-2008/SC2-INDECOPI,1
D. Leg 937 Texto del RUS,1
Res. 093-2006/INDECOPI-LAM,1
Res. 1910-2006/TDC-INDECOPI,1
D. Supremo No. 032-2008-MTC,1
