,0
Hernando Montoya Alberti,132
Camilo Nicanor Carrillo Gómez,124
Francisco Pedro Ernesto Mujica Serelle,123
Oscar Darío Arrús Olivera,113
Miguel Antonio Quiroz García,100
Alejandro José Rospigliosi Vega,69
Julio Baltazar Durand Carrión,68
Javier Francisco Zúñiga Quevedo,68
Ana Asunción Ampuero Miranda,65
Juan Luis Avendaño Valdez,64
Juan Ángel Candela Gómez de La Torre,62
Luis José Diez Canseco Núñez,62
Rosa María Graciela Ortiz Origgi,57
José Juan Fernando Piérola Mellet,30
Julio Balazar Durand Carrión,17
Juan Francisco Rojas Leo,17
Luis Bruno Seminario de Marzi,16
Héctor Tapia Cano,13
Sergio Alejandro León Martínez,13
Roxana María Irma Barrantes Cáceres,10
Juan Alejandro Espinoza Espinoza,10
Javier Eduardo Raymundo Villa García Vargas,10
José Oscátegui Arteta,10
Tomás Unger Golsztyn,7
Oswaldo Del Carmen Hundskopf Exebio,6
Paola Liliana Lobatón Fuchs,6
Lorenzo Antonio Zolezzi Ibárcena,3
Silvia Lorena Hooker Ortega,3
Julio Carlos Lozano Hernández,2
Mónica Eliana Medina Triveño.,2
Ana Rosa Martinelli Montoya.,1
Begoña Venero Aguirre,1
José Alberto Oscátegui Arteta,1
José Enrique Benjamín Palma Navea,1
María Soledad Ferreyros Castañeda,1
José Francisco Martín Perla Anaya.,1
