,params,mean_test_accuracy,std_test_accuracy,model_name
196,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.71,0.043588989,N-gramas + RF
244,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.71,0.03,N-gramas + RF
580,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.71,0.043588989,N-gramas + RF
628,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 1}",0.71,0.03,N-gramas + RF
3,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
7,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
51,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
55,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
387,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
391,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
435,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
439,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 7}",0.7,0.082158384,N-gramas + RF
5,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'SVMPred__C': 1, 'SVMPred__kernel': 'rbf'}",0.7,0.067082039,N-gramas + SVC
35,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'SVMPred__C': 1, 'SVMPred__kernel': 'rbf'}",0.7,0.067082039,N-gramas + SVC
245,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'SVMPred__C': 1, 'SVMPred__kernel': 'rbf'}",0.7,0.067082039,N-gramas + SVC
275,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'SVMPred__C': 1, 'SVMPred__kernel': 'rbf'}",0.7,0.067082039,N-gramas + SVC
5,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.695,0.06595453,N-gramas + RF
53,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.695,0.06595453,N-gramas + RF
201,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.695,0.062048368,N-gramas + RF
389,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.695,0.06595453,N-gramas + RF
437,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 5, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.05, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': True, 'RandForestPred__criterion': 'entropy', 'RandForestPred__min_samples_leaf': 3}",0.695,0.06595453,N-gramas + RF
585,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 0.9, 'FeatureExtraction__CargosLimpioNGramas__max_features': 50, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (1, 1), 'RandForestPred__bootstrap': False, 'RandForestPred__criterion': 'gini', 'RandForestPred__min_samples_leaf': 3}",0.695,0.062048368,N-gramas + RF
194,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 1, 'SVMPred__kernel': 'linear'}",0.695,0.036742346,N-gramas + SVC
196,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 10, 'SVMPred__kernel': 'linear'}",0.695,0.036742346,N-gramas + SVC
198,"{'FeatureExtraction__CargosLimpioNGramas__max_df': 1.0, 'FeatureExtraction__CargosLimpioNGramas__max_features': None, 'FeatureExtraction__CargosLimpioNGramas__min_df': 0.0, 'FeatureExtraction__CargosLimpioNGramas__ngram_range': (2, 2), 'SVMPred__C': 100, 'SVMPred__kernel': 'linear'}",0.695,0.036742346,N-gramas + SVC
