Número de resolución,TURISMO CIVA S.A.C.,Empresa de Transporte Junín S.R.L.,TRANSPORTES CRUZ DEL SUR S.A.C.,Empresa de Transporte Flores Hermanos S.R.L.,Empresa de Transportes Expreso Cial S.A.C.,TRANSPORTES EL PINO S.A.C.,EMPRESA DE TRANSPORTES RONCO PERÚ S.A.C.,EXPRESO MOLINA UNIÓN E.I.R.L.,EMPRESA DE TRANSPORTE TURÍSTICO OLANO S.A.,EMPRESA DE TRANSPORTES CARGO CAVASSA S.A.C.,Transportes Wari S.A.C.,JULSA ÁNGELES TOURS S.A.C.,MÓVIL TOURS S.A.,PAREDES ESTRELLA CARGO S.A.,M & C ENLACES S.A.,TRANSMAR EXPRESS S.A.C.,EXPRESO INTERNACIONAL ORMEÑO S.A.,EMPRESA DE TRANSPORTES TURISMO PARAMONGA S.A.,TRANSPORTES LÍNEA S.A.,SERVICIO DE TRANSPORTE TURISMO INTERBUSS S.A.C.,EMPRESA DE TRANSPORTES EXPRESO INTERNACIONAL PALOMINO S.A.C.,ANDORIÑA TOURS S.R.L.,EMPRESA DE TRANSPORTES SALAZAR E.I.R.L.,Empresa de Transportes Royal Palaces S.A.,EMPRESA DE TRANSPORTES SANTA ÚRSULA S.A.C,EMPRESA DE TRANSPORTES EL DORADO S.A.C.,Empresa de Transporte Sol Peruano S.A.C.,HUAYRURO TOURS E.I.R.L.,Empresa de Transportes Turismo Directo Asegurado S.A.C.,EMPRESA DE TRANSPORTES KALE S.A.C.,TRANSPORTES GM INTERNACIONAL S.A.C.,EMPRESA DE TRANSPORTES PERÚ BUS S.A.,TURISMO SAN LUIS DEL SUR E.I.R.L.,EMPRESA DE TRANSPORTES Y REPRESENTACIONES TURISMO CENTRAL S.A.,TURISMO PARAÍSO S.A.,Expreso Turismo Tacna Internacional S.C.R.L.,EMPRESA DE TRANSPORTES EXPRESO HUAMANGA S.A.C.,BAHÍA BUSS S.A.C.,EMPRESA DE TRANSPORTES Y TURISMO RARAZ S.A.C.,EMPRESA DE TRANSPORTES TURISMO TRES ESTRELLAS S.A.C.,EXPRESO GRAEL S.A.C.,INVERSIONES TOUR PERU S.A.C.,EMPRESA DE TRANSPORTE TURISMO LIBERTADORES E.I.R.L.,EXPRESO TURISMO SAN MARTÍN E.I.R.L.,EMPRESA DE TRANSPORTES Y TURISMO BARRANCA S.A.,EMPRESA DE TRANSPORTES LIBERTAD S.C.R.Lt.,TRANSPORTES CROMOTEX S.A.C.,EMPRESA DE TRANSPORTES INTERPROVINCIAL DE PASAJEROS EL HUARALINO S.A.C.,EMPRESA DE TRANSPORTE TURÍSTICO PANAMERICANO S.C.R.L.,Empresa de Transportes La Perla del Oriente S.A.C.,EMPRESA DE TRANSPORTES WARIVILCA S.A.,CARBOTRANS E.I.R.L.,TURISMO TITANIC S.A.,TURISMO AMPAY S.C.R.L.,EMPRESA DE TRANSPORTES EL EXPRESO S.A.C.,EMPRESA DE TRANSPORTES AGREDA E HIJOS S.A.C.,EMPRESA DE TRANSPORTES LOS CANARIOS S.R.L.,EMPRESA DE TRANSPORTE CRUZ DEL NORTE S.A.C.,EMPRESA DE TRANSPORTES TURISMO REAL DEL SUR S.R.L.,EMPRESA DE TRANSPORTES VIRGEN DE COPACABANA S.R.L.,Transportes Señor de Puelles S.C.R.L.,Empresa de Transporte Costeño Express S.A.C.,TRANSPORTES ANITA E.I.R.L.,EMPRESA DE TRANSPORTES TURISMO APÓSTOL SAN PEDRO E.I.R.L.,Empresa de Transporte Salazar E.I.R.L,EMPRESA DE TRANSPORTES DORA E.I.R.L.,EMPRESA DE TRANSPORTES DE CARMELITAS,COMPAÑÍA DE MOVILIDAD Y SERVICIOS VELOSTER S.A.C.,SHALOM EMPRESARIAL S.A.C.,TRANSPORTES TURISMO OROPESA E.I.R.L.,EMPRESA DE TRANSPORTES SANDOVAL S.R.L.,EMPRESA DE TRANSPORTES NUESTRA SEÑORA DE LA MERCED S.A.C.,EMPRESA DE TRANSPORTES AVE FÉNIX S.A.C.,EMPRESA COMERCIAL DE TRANSPORTES ZELADA S.R.L.,EMPRESA DE TRANSPORTES TURISMO MER S.C.R.L.,TERRACARGO S.A.C.,TURISMO ESPINOZA E.I.R.L.,EMPRESA DE TRANSPORTES CRUZ DEL NORTE S.A.C.,TURISMO ERICK EL ROJO S.A.,EMPRESA DE TRANSPORTES YANATILE S.R.L.,Empresa de Transportes Diferencial Asociados S.A. (Transportes Diferencial),EMPRESA DE TRANSPORTES Y SERVICIOS MÚLTIPLES SOL NACIENTE S.R.L.,EXPRESO SÁNCHEZ S.R.L.,TRANSPORTES SOYUZ S.A.,EMPRESA DE TRANSPORTES Y TURISMO CORVIVAL S.A.C.,Arequipa Express Comité 4 S.C.R.L.,EXPRESO INTERNACIONAL TERRABÚS PERÚ S.C.R.L.,EMPRESA DE TRANSPORTES HORNA E HIJOS S.R.L.,EMPRESA DE TRANSPORTES Y TURISMO SOL PERUANO S.A.C.,Empresa de Transporte Inter Regional S.A.,EMPRESA DE TRANSPORTES TURISMO SEÑOR DE ATACO S.A.C.,EMPRESA INTERNACIONAL DE TRANSPORTE TITICACA BOLIVIA S.R.L.,TURISMO MURGA SERRANO E.I.R.L.,EMPRESA DE TRANSPORTES ROMY S.A.C.,TRANSPORTES MURGA SERRANO E.I.R.L.,EMPRESA DE TRANSPORTE TURÍSTICO COCHACHI S.C.R.L.,EMPRESA DE TRANSPORTES Y TURISMO EXPRESS,MERLY ROXANA GUEVARA BARRETO,Empresa de Transportes Carhuamayo S.A.C.,SELVA SUR S.R.L. - EXPRESO SELVA SUR,EMPRESA DE TRANSPORTES EXPRESO LOBATO S.A.C.,Empresa de Transportes Santa Mónica E.I.R.L.,EMPRESA DE SERVICIOS TURÍSTICOS LUCHO TOURS S.A.C.,EMPRESA DE TRANSPORTE TURISMO MER S.R.L.,EMPRESA DE TRANSPORTE INTERPROVINCIAL DE PASAJEROS TURISMO HUANCABAMBA S.A.C.,EMPRESA DE TRANSPORTES TURISMO JAÉN S.R.L.,EMPRESA DE TRANSPORTES SAN CRISTÓBAL DEL SUR E.I.R.L.,Transporte La Marginal SA (Transporte La Marginal),Empresa Romelí S.A.C. (Romelí),INTERNATIONAL MILLENIUM CARGO S.A.C.,EMPRESA DE TRANSPORTES RAMOS,EXPRESO ANTEZANA HNOS S.A.,EMPRESA DE TRANSPORTE TURÍSTICOS OLANO S.A,Empresa de Transportes Unidos del Centro S.A.,EMPRESA DE TRANSPORTES EL SOL S.A.,CRISOLITOS EXPRESS E.I.R.L.,Empresa de Transporte El Pino SAC (El Pino),Empresa de Transportes  Julio César S.R.L.,EMPRESA DE TRANSPORTES PAREDES ESTRELLA S.R.L.,Empresas de Servicios y Representaciones Tumbes S.R.L.,SERVICIO Y TURISMO EXPRES VÍA NACIONAL S.A.C.,SECHURA TOURS S.R.LTDA.,Perurail S.A.,Turismo Dias S.A. (Turismo Dias),EXPRESO INTERNACIONAL ORMEÑO S.A.,Nuestra Señora de Chota S.A.,Empresa de Transportes y Turismo Los Hunos E.I.R.L.,Expreso Wari S.A.C.,EXPRESO TURISMO SAN MARTÍN E.I.R.L.,AREQUIPA EXPRESO MARVISUR E.I.R.L.,Decisión
0064-2006/TDC-INDECOPI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0071-2006/TDC-INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0142-2006/TDC-INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335-2006/TDC-INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1428-2006/TDC.INDECOPI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466-2006/TDC.INDECOPI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1663-2006/TDC.INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722-2006/TDC.INDECOPI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854-2006/TDC.INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1900-2006/TDC.INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1910-2006/TDC.INDECOPI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1965-2006/TDC.INDECOPI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1972-2006/TDC.INDECOPI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
