Número de resolución,"DECRETO LEGISLATIVO N° 807 Facultades, normas y organización del INDECOPI",Ley No. 27444 Ley del Procedimiento Administrativo General,Código de Protección y Defensa del Consumidor,Código Procesal Civil,D. Supremo No. 009-2004-MTC Reglamento Nacional de Administración de Transportes,Ley No. 27181 Ley General de Transporte y Tránsito Terrestre,Reglamento Nacional de Ferrocarriles D. Supremo 032-2005-MTC,"Ley No. 29380 Ley de Creación de la Superintendencia de Transporte Terrestre de Personas, Carga y Mercancías (SUTRAN)",Constitución Política del Perú,Código Civil,Res. 085-96-TDC,Ley de Aeronaútica Civil del Perú,Ley No. 27917 Modifica el Texto Unico Ordenado del D. Leg. 716,D. Supremo 017-2009-MTC,D. Supremo No. 050-2001-MTC Reglamento de la Ley de Aeronaútica Civil del Perú,Res. 0158-2003/TDC-INDECOPI,D. Supremo No. 027-99-MTC Reglamento para el otorgamiento de operaciones de servicio de transporte ferroviario,Directiva No. 001-2003/TRI-INDECOPI,D. Leg 1045 Ley Complementaria al Sistema de Protección al Consumidor,D. Supremo No. 016-2006-EF Reglamento de Equipaje y Menaje de Casa,Directiva No. 009-2013/DIR-COD-INDECOPI,Sentencia del 23 de abril de 2007 Primera Sala Transitoria Especializada de la Corte Superior de Jusiticia de Lima,Res. 099-96-TDC,Ley No. 28015 Ley de Promoción y Formalización de MYPE,Acuerdo sobre Transporte Internacional Terrestre 1990 ALADI,D. Supremo No. 004-2019-JUS,Res. 2303-2009/SC2-INDECOPI,DECRETO LEGISLATIVO No. 716 PROMULGAN NORMA SOBRE PROTECCIÓN AL CONSUMIDOR,Decisión290 Andina,Sentencia Tribunal Constitucional Exp. 0858-2003-AA/TC,REGLAMENTO SC-STR-DS-RA-0300-2007,D. Supremo 011-2011-PCM Reglamento del Libro de Reclamaciones,Ley No. 26979 Ley de Procedimiento de Ejecución Coactiva,D. Supremo 006-2015-MTC Reglamento de Organización y Funciones de la SUTRAN,Directiva No. 002-1999/TRI-INDECOPI,Acuerdo Plenario No. 2-2006/CJ-116 Pleno Jurisdiccional de las salas permanente y transitoria,Res. 0603-2002/TDC-INDECOPI,Ley No. 27809 Ley General del Sistema Concursal,RESOLUCION DE SUPERINTENDENCIA Nº 007-99-SUNAT. Aprueba Nuevo Reglamento de Comprobantes de Pago,Res. 1771-2009/SC2-INDECOPI,Res. 0221-1998/TDC-INDECOPI,Ley No. 27311 Ley de Fortalecimiento del Sistema de Protección al consumidor,D. Supremo 017-93-JUS TUO de la Ley Orgánica del Poder Judicial,Cláusulas Generales del contrato de Transporte de Pasajeros,Código Penal,D. Supremo 11-2013-MTC Decreto Supremo que modifica e incorpora disposiciones al Decreto Supremo No. 017-2009-MTC,D. Supremo 007-2008-TR,Res. 802-2011/SC2-INDECOPI,Código de los Niños y Adolescentes,D. Supremo No. 006-2017-JUS,Convenio de Montreal,Ley Marco de Licencia De Funcionamiento,Ley 27972 Ley Orgánica de Municipalidades,Sentencia Tribunal Constitucional Exp. 1963-2006-PA/TC,D. Supremo No. 01-79 TC,Ley que regula el proceso contencioso administrativo,D. Supremo 032-2011-PCM,Directiva No. 001-2015/TRI-INDECOPI,D. Supremo 032-2015-MTC,D. Supremo No. 006-2014-PCM,Res. 1123-2006/INDECOPI-LAL,Res. 0620-2008/TDC-INDECOPI,D. Supremo 122-94-EF Reglamento de la Ley del Impuesto a la Renta,Directiva No. 005­2010/DIR-COD-INDECOPI,Res. 0488-2007/TDC,Res. 1125-2006/INDECOPI-LAL,Artículo 47° del Código de Protección y Defensa del Consumidor,Sentencia Tribunal Constitucional Exp. 2868-2004-PA/TC,D. Supremo 009-2009-PCM,TUO del Nuevo Régimen Único Simplificado,Res. 0301-2007/TDC-INDECOPI,Res. 0489-2005/TDC-INDECOPI,Ley Orgánica del Registro Nacional de Identificación y Estado Civil,Directiva No. 007-2013/DIR-COD-INDECOPI,Res. 064-2004/DIR-INDECOPI,Directiva No. 004-2010/DIR-COD-INDECOPI,Res. 3590-2012/SC2-INDECOPI,Sentencia 29 agosto 2006 Tribunal Constitucional,Directiva 002-2001/TRI-INDECOPI,Res. 3697-2012/SPC-INDECOPI,Res. 422-2003/TDC-INDECOPI,Sentencia 10 abril 2006 Sala Civil Transitoria de la Corte Suprema,RD 001-2006-MTC/19,D. Supremo No. 032-93-TC Reglamento de servicios y concesiones postales,Res. 0082-2008/SC2-INDECOPI,D. Leg 937 Texto del RUS,Res. 093-2006/INDECOPI-LAM,Res. 1910-2006/TDC-INDECOPI,D. Supremo No. 032-2008-MTC,Decisión
0064-2006/TDC-INDECOPI,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0071-2006/TDC-INDECOPI,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0142-2006/TDC-INDECOPI,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335-2006/TDC-INDECOPI,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1428-2006/TDC.INDECOPI,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466-2006/TDC.INDECOPI,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1663-2006/TDC.INDECOPI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722-2006/TDC.INDECOPI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854-2006/TDC.INDECOPI,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1900-2006/TDC.INDECOPI,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1910-2006/TDC.INDECOPI,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1965-2006/TDC.INDECOPI,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
